Dataset,Proposed,WEASEL,1-NN DTW CV,1-NN DTW,BOSS,Learning Shapelets,TSBF,ST,EE,COTE (ensemble)
ProximalPhalanxTW,0.7525,0.80976,0.756,0.756,0.815,0.77561,0.80976,0.80488,0.76585,0.78049
RefrigerationDevices,0.522666666667,0.53867,0.44,0.464,0.49867,0.51467,0.472,0.58133,0.43733,0.54667
ScreenType,0.421333333333,0.54667,0.411,0.397,0.464,0.42933,0.50933,0.52,0.44533,0.54667
ShapeletSim,0.666666666667,1,0.7,0.65,1,0.95,0.96111,0.95556,0.81667,0.96111
ShapesAll,0.785,0.91833,0.802,0.768,0.90833,0.76833,0.185,0.84167,0.86667,0.89167
SmallKitchenAppliances,0.658666666667,0.78933,0.672,0.643,0.72533,0.664,0.672,0.792,0.696,0.776
SonyAIBORobot Surface,0.797004991681,0.82363,0.696,0.725,0.63228,0.8974,0.79534,0.84359,0.70383,0.84526
SonyAIBORobot SurfaceII,0.859391395593,0.93494,0.859,0.831,0.85939,0.9184,0.77754,0.93389,0.87828,0.95173
StarlightCurves,0.973288003885,0.97729,0.905,0.907,0.97778,0.9665,0.97705,0.97851,0.92606,0.9796
Strawberry,0.94942903752,0.97568,0.946,0.941,0.976,0.91081,0.95405,0.96216,0.94595,0.95135
SwedishLeaf,0.9344,0.9664,0.846,0.792,0.9216,0.913,0.9152,0.928,0.9152,0.9552
Symbols,0.952763819095,0.96181,0.938,0.95,0.96683,0.9644,0.94573,0.88241,0.9598,0.96382
synthetic_control,0.993333333333,0.99333,0.983,0.993,0.96667,0.9927,0.99333,0.98333,1,1
ToeSegmentation1,0.745614035088,0.94737,0.75,0.772,0.9386,0.93421,0.7807,0.96491,0.82895,0.97368
ToeSegmentation2,0.715384615385,0.90769,0.908,0.838,0.96154,0.91538,0.8,0.90769,0.89231,0.91538
Trace,0.99,1,0.99,1,1,1,0.98,1,0.99,1
Two_Patterns,0.99825,0.98975,0.998,1,0.98068,0.997,0.86567,0.99737,0.99298,0.99298
TwoLeadECG,0.957857769974,0.99824,0.868,0.904,0.993,0.9974,0.97625,0.955,1,1
uWaveGestureLibrary_X,0.781407035176,0.8096,0.773,0.728,0.76214,0.7998,0.83082,0.8029,0.80542,0.82189
uWaveGestureLibrary_Y,0.711055276382,0.72473,0.699,0.634,0.68509,0.7129,0.73618,0.73032,0.72557,0.75851
uWaveGestureLibrary_Z,0.708263539922,0.76996,0.678,0.658,0.69486,0.7315,0.77247,0.74846,0.72362,0.75042
UWaveGestureLibraryAll,0.965382467895,0.95031,0.966,0.892,0.93886,0.95338,0.9263,0.94221,0.96845,0.96427
wafer,0.995781959766,1,0.995,0.98,0.99481,0.9962,0.99513,1,0.9974,0.99984
Wine,0.648148148148,0.85185,0.611,0.574,0.74074,0.5,0.61111,0.7963,0.57407,0.64815
WordsSynonyms,0.656739811912,0.72414,0.748,0.649,0.63793,0.6602,0.68809,0.57053,0.779,0.75705
Worms,0.569060773481,0.80519,0.532,0.584,0.74,0.61039,0.68831,0.74026,0.66234,0.62338
WormsTwoClass,0.657458563536,0.80519,0.584,0.623,0.792,0.72727,0.75325,0.83117,0.68831,0.80519
yoga,0.867,0.909,0.844,0.836,0.91833,0.8499,0.81933,0.81767,0.879,0.87667
