Dataset,                  Jiffy, MDDTW, DTW-D, DTW-I,    SiameseCNN, SiameseRNN , ZeroPad, Upsample
ECG                    , 0.9250, 0.865, 0.825, 0.810000, 0.7561,     0.6585     , 0.967  , 0.898
Wafer                  , 0.9916, 0.988, 0.984, 0.861111, 0.9683,     0.9542     , 1.000  , 1.000
AUSLAN                 , 1.0000, 0.959, 0.900, 1.000000, 1.0000,     1.0000     , 0.820  , 0.820
Libras                 , 1.0000, 0.908, 0.905, 0.979062, 0.2800,     0.3200     , 0.534  , 0.534
ArabicDigits           , 0.9737, 0.969, 0.963, 0.974108, 0.8505,     0.3754     , 0.936  , 0.948
CharacterTrajectories  , 0.9789, 0.961, 0.956, 0.972273, 0.9328,     0.8163     , 0.945  , 0.936
