Dataset,WEASEL,1-NN DTW CV,1-NN DTW,BOSS,Learning Shapelet (LS),TSBF,ST,EE (PROP),COTE (ensemble)
RefrigerationDevices,0.53867,0.44000,0.46400,0.49867,0.51467,0.47200,0.58133,0.43733,0.54667
ScreenType,0.54667,0.41100,0.39700,0.46400,0.42933,0.50933,0.52000,0.44533,0.54667
ShapeletSim,1,0.70000,0.65000,1.00000,0.95000,0.96111,0.95556,0.81667,0.96111
ShapesAll,0.91833,0.80200,0.76800,0.90833,0.76833,0.18500,0.84167,0.86667,0.89167
SmallKitchenAppliances,0.78933,0.67200,0.64300,0.72533,0.66400,0.67200,0.79200,0.69600,0.77600
SonyAIBORobot Surface,0.82363,0.69600,0.72500,0.63228,0.89740,0.79534,0.84359,0.70383,0.84526
SonyAIBORobot SurfaceII,0.93494,0.85900,0.83100,0.85939,0.91840,0.77754,0.93389,0.87828,0.95173
StarlightCurves,0.97729,0.90500,0.90700,0.97778,0.96650,0.97705,0.97851,0.92606,0.97960
Strawberry,0.97568,0.94600,0.94100,0.97600,0.91081,0.95405,0.96216,0.94595,0.95135
SwedishLeaf,0.9664,0.84600,0.79200,0.92160,0.91300,0.91520,0.92800,0.91520,0.95520
Symbols,0.96181,0.93800,0.95000,0.96683,0.96440,0.94573,0.88241,0.95980,0.96382
synthetic_control,0.99333,0.98300,0.99300,0.96667,0.99270,0.99333,0.98333,1.00000,1.00000
ToeSegmentation1,0.94737,0.75000,0.77200,0.93860,0.93421,0.78070,0.96491,0.82895,0.97368
ToeSegmentation2,0.90769,0.90800,0.83800,0.96154,0.91538,0.80000,0.90769,0.89231,0.91538
Trace,1,0.99000,1.00000,1.00000,1.00000,0.98000,1.00000,0.99000,1.00000
Two_Patterns,0.98975,0.99800,1.00000,0.98068,0.99700,0.86567,0.99737,0.99298,0.99298
TwoLeadECG,0.99824,0.86800,0.90400,0.99300,0.99740,0.97625,0.95500,1.00000,1.00000
uWaveGestureLibrary_X,0.8096,0.77300,0.72800,0.76214,0.79980,0.83082,0.80290,0.80542,0.82189
uWaveGestureLibrary_Y,0.72473,0.69900,0.63400,0.68509,0.71290,0.73618,0.73032,0.72557,0.75851
uWaveGestureLibrary_Z,0.76996,0.67800,0.65800,0.69486,0.73150,0.77247,0.74846,0.72362,0.75042
UWaveGestureLibraryAll,0.95031,0.96600,0.89200,0.93886,0.95338,0.92630,0.94221,0.96845,0.96427
wafer,1,0.99500,0.98000,0.99481,0.99620,0.99513,1.00000,0.99740,0.99984
Wine,0.85185,0.61100,0.57400,0.74074,0.50000,0.61111,0.79630,0.57407,0.64815
WordsSynonyms,0.72414,0.74800,0.64900,0.63793,0.66020,0.68809,0.57053,0.77900,0.75705
Worms,0.80519,0.53200,0.58400,0.74000,0.61039,0.68831,0.74026,0.66234,0.62338
WormsTwoClass,0.80519,0.58400,0.62300,0.79200,0.72727,0.75325,0.83117,0.68831,0.80519
yoga,0.909,0.84400,0.83600,0.91833,0.84990,0.81933,0.81767,0.87900,0.87667
